annotations,tweets,labels
😂,everybody wanna be rich amp shine but dont wanna put the work in,0
😂,done driving for today for i just wanna sleep this break has not been a break for,0
😂,try it then take the flick runs it yea i took a bite,0
😂,a child just drove down my street in an electric toy car singing wrecking ball at the top of her lungs,0
😂,okay i gig night,0
😂,and they would be like oh we know who you are thats why youre not coming in,0
😂,your an idiot be its my credit card,0
😂,if you leave me on read i really dont fu,0
😂,cute but this aint nothing but pre meditated swamp ass in the summer,0
😂,lot of people on here saying england need to be more roofless in front of goal,0
😂,showtime lakers would of lost to this warriors team they said as a laker fan good job and the,0
😂,literally everytime dude,0
😂,how do u pronounce it omg,0
😂,cocked hey well played,0
😂,you give those wristbands away,0
😂,no wonder i havent met the love of my life,0
😂,thats fucking awesome,0
😂,you played yourself by posting that video girl,0
😂,beyond hilarious,0
😂,that bitch said my name boogie cause of him,0
😂,ill be so fucking pissed,0
😂,exactly haters stay reaching for anything to try and make her look bad,0
😂,i havent had sex in a while a bitch could hug me ima nut,0
😂,yum i wanna cry and,0
😂,damn to u did,0
😂,almost teammate thank you,0
😂,ana who nailed it,0
😂,loo i aint even on that,0
😂,im badass,0
😂,green turning up on these fuckboys fuck u mean,0
😂,damn,0
😂,adds to playlist for aft i meandope song,0
😂,thanks,0
😂,smog hello,0
😂,true which is why most people dont make it past freshman year cause after that it starts to get serious,0
😂,right,0
😂,for some reason i thought valentines day was next month where to have i been,0
😂,looolll i just need to laugh,0
😂,its in the afternoon i woke up almost hours ago,0
😂,savage my principals messages sometimes hay mara,0
😂,so true,0
😂,i dont know what i wanna see more the jordan meme on those cav fans or born actually crying and getting hit with the jordan face,0
😂,but why are there poot loveto and roger from american dad grindr profiles,0
😂,im the same one i i just put away the playa card,0
😂,ohhs thats the look the pics are going for off guard you caught me off guard while looking at the ground him,0
😂,its gonna be so awkward now,0
😂,i dedicated myself to finishing seasons the only thing i watched all of winter break was greys anatomy,0
😂,im not,0
😂,weak,0
😂,this place is so bizarre,0
😂,definitely at state,0
😂,im finna go right back to sleep,0
😂,lebron stay tellin on somebody suh,0
😂,ike thanks man,0
😂,haha bet you were like that is not my job in a sassy voice haha,0
😂,eat eat eat eat eat,0
😂,if you eat a salad amp drench it in dressing there is no point in even eating one,0
😂,nom i lied you dont know basketball,0
😂,training was hard though so im definitely gonna sleep well tonight,0
😂,damn this girl done ruined the whole plan for today,0
😂,i do that all the time thought i was the only one,0
😂,i bet your gonna eat it in,0
😂,youre such a mug,0
😂,oh my god,0
😂,this is my habit,0
😂,thank you big i,0
😂,thats literally one block from where i live now im going outside to look,0
😂,do you know the corners,0
😂,nah i changed my mind cause you be on some crazy shit,0
😂,how many times is curry gna flop on that pick and roll,0
😂,please if you do so please take some pictures hahaha,0
😂,born wife from rugged cleveland right she might drag rihanna up and down a whole palm tree on vacation in barbados,0
😂,thanks ya punk,0
😂,nigga wif hahaha man yoh i cant believe this,0
😂,i always keep the window open,0
😂,i mean yea but no because if you tell me no imma get it myself amp show you amp say yes,0
😂,no im not,0
😂,my papi looked like he had a lot on his on during his birthday party,0
😂,im not sure either,0
😂,someone said my name on the tram im finished,0
😂,you already know,0
😂,saw that one coming,0
😂,ummm soo you want to cut me up and stick me on the grill then saved with a side of chips,0
😂,dayyuummmm whos yo baby daddy,0
😂,i want chipotle so im going to work out,0
😂,thank you and i should but i dont want to damage my hair anymore so im in a pickle amp anytime,0
😂,i went from listening to chance to daughter to deadman,0
😂,samir get a couple retweets amp wanna pin the tweet jaytweet,0
😂,she put shawty down,0
😂,i only see game of thrones on twitter im sure im not the only one whos never watched an episode,0
😂,last night was mad real,0
😂,now you got ya mind right,0
😂,lol depends what its rated harry,0
😂,im done,0
😂,my little sexy ass glazed donut okay jae okay,0
😂,i was wondering the same,0
😂,watching say yes to the dress and scrolling through pinterest and crying because of a picture of an adorable puppy,0
😂,naruto all day,0
😂,welcome partisan,0
😂,lol but his wasnt a hair cut,0
😂,this use to be my game,0
😂,that shit so wild,0
😂,just do your noodle dance this year definite crowd pleaser,0
😂,lool ur lying couldnt of mocked other managers like that,0
😂,maybe,0
😂,lay better read that damn message too,0
😂,nobody has ever said it right,0
😂,im starting to love math kay ez na cya,0
😂,they to at my church early,0
😂,yo the night would be lit literally from the cheekbone highlights alone,0
😂,taking up for her for what,0
😂,it how did we get from here to here,0
😂,eso noche hub bullying everywhere a basil,0
😂,lol yeah tines you gulp basho,0
😂,me mind loading,0
😂,im gonna be that yr old ma thatll still play pac amp dance to it,0
😂,he tripping,0
😂,dont ever want to be your nigga ahead,0
😂,what does it mean,0
😂,oome just swallowed ole dude dick big nasty desperate bitch shade,0
😂,geeked up,0
😂,i didnt know you were that pathetic,0
😂,i missed makeup sooo much i had to get super cute for my last day now to ima wear,0
😂,just got a twitter like in,0
😂,it used to,0
😂,my focus was on the hamburger cake are there people in that picture,0
😂,whatever you say and im a girl didnt sound like it when you were yelling daddy and couldnt take the,0
😂,hell name nigga dont play that,0
😂,i love this omg,0
😂,mo williams got clock before delly mistake,0
😂,yea lol somewhere lit,0
😂,at am on this day years ago i was brought into the world,0
😂,this group of international commentators always get cut off,0
😂,this isnt olds pal,0
😂,this has to be a song,0
😂,lol oh girl i already know,0
😂,damn can he get out ya phone lao i cant son,0
😂,i always say thank you,0
😂,its weird and awesome that my older sister asks me for life advice i feel so wise,0
😂,i do all the time but it has nothing to do with you you just needed something to tweet about,0
😂,bounch back greater and stronger polar,0
😂,burger breakdown please guess patty cheese omelette coleslaw sausage,0
😂,literally seen kathie this whole week,0
😂,at all times,0
😂,everyone has money for that but what kind of person is playing her charging her that much,0
😂,i fucking love you,0
😂,to fill mine,0
😂,shield at least im awake,0
😂,dinah bullying lauren is my favorite thing,0
😂,thats my dad,0
😂,he always doing that,0
😂,good boy,0
😂,everytime,0
😂,on the real i didnt know facebook drama still existed,0
😂,what lol is he going to collar with lam,0
😂,almost,0
😂,no im happy,0
😂,you love all his tweets about food,0
😂,hes a mess and pretty cool he looks out for me and i appreciate him,0
😂,fucking hair style,0
😂,why was he breathing like that,0
😂,my brother was just lit,0
😂,oh i just texted you,0
😂,i can be texting somebody with an unsaved number all day and tomorrow and know who it is but as soon as they call im like who this,0
😂,its all we throwing hands when i see you,0
😂,had to do this haha right before my phone broke thorough,0
😂,its so funny to see how pathetic you actually are,0
😂,mannnnnn whaaaaaa,0
😂,health buff off just came in and just saw the pile of junkfood i have now hes staring me death,0
😂,i loveeeee makeup but i wish i had enough energy to do it more,0
😂,sterling doesnt even start for his club mil whys he even in france right now,0
😂,my date went well,0
😂,we was friends,0
😂,go fly fam high bona a space ship,0
😂,you are tony,0
😂,pretending that youre talking on the phone pose,0
😂,fol i was sleeping good as to,0
😂,im for tho,0
😂,my moma was sleep drone came asking if he could go to his homeboy house and she woke up so fast she hip,0
😂,thanks and lol its ok but yes maam,0
😂,as long as i was a virgin,0
😂,red and hot that people actually care what i have to say,0
😂,gun control to nah its problems with the people not the guns,0
😂,what a soul snatcher would say but i believe you,0
😂,you right lemme chill be i could start it all back up,0
😂,play tennis with that of lol,0
😂,fror,0
😂,then me yelling at dad when he farts but doesnt do it into the heater so we can test it,0
😂,you know its true friendship when both of you sit and analyze something that got your friend mad,0
😂,that wasnt me,0
😂,its a shock youd even play the game considering you dont follow rules but we go way back like flats,0
😂,i always say this,0
😂,to everyone freaking out about freshers tickets if youre going to or i recommend this one,0
😂,ink who i was giving my sass to but i apologize,0
😂,the blokes from grisly,0
😂,ion who ill invite to my grad cause i probably wont use em all,0
😂,i wish we can go back,0
😂,im tryna tell u lol its hectic over there look at the scanner last tweet,0
😂,rass you can now it yourself,0
😂,that nigga cold,0
😂,shake whatcha of momma gave ya shake allah ass,0
😂,what,0
😂,we go to sleeplions to night end morning hibiki lets go to bed,0
😂,ion know somebody,0
😂,single she was ugly af anyway bro lol you finna upgrade lol,0
😂,go get em moe i got you the address,0
😂,lao they were hysterical together,0
😂,then start winning,0
😂,hahahaha i still call him travel too i just noticed you said that,0
😂,youre married biz,0
😂,ian mean say that,0
😂,fifa looks decent running over to loop every time i score,0
😂,nigga speak proper english,0
😂,ladoo no thats funny,0
😂,jog on you fox,0
😂,lao you know im just talkin shit now days is come natural for me,0
😂,gucci mane be having me to,0
😂,fulfill my wish after the ill gift u a lil kid mann ki sunny lava hoon me i mera lamina,0
😂,he said he wanna take me shopping lol ight bet,0
😂,ramsay,0
😂,this scene amazing,0
😂,am sure youll enjoy the filler see you tuesday i,0
😂,im cute amp can rlly eat a whole pizza by myself haha,0
😂,i clicked the wrong emoji,0
😂,haha of course,0
😂,im so in love with jon richardson,0
😂,i for watch this at least times a day,0
😂,who you,0
😂,nagara was doing the most,0
😂,cant wait for you to have that baby of yours,0
😂,apple putting a stop to dangerous emojis saving millions of lives where they banning etc,0
😂,unpacking defo packing is fun cus youre leaving,0
😂,hindi no offense one direction,0
😂,genuinely thought this was my tweet because of the photo,0
😂,poll update northern ireland leave wales remain,0
😂,oh sid peep dumb and dales in the back having a moment,0
😂,bih i got you soon though i got some cute new undies,0
😂,hahaha wif is wrong wi you no played ye aw night haha,0
😂,yes lol and omg yeah thats so weird,0
😂,sleep can be really elusive yes it is,0
😂,ima keep to myself that aint my business,0
😂,absolutely not,0
😂,tweet of the day honestly,0
😂,i like messing with mikayla she too nice to be mean to pal,0
😂,lao this is too good,0
😂,im getting him so mad,0
😂,he will lose all his remaining body hair scenes when he gives polaron the are you ready to learn football talk,0
😂,lao just picturing him orgasming after every verse,0
😂,glad it wasnt me i would have had to fight a crackhead,0
😂,definitely,0
😂,son if i forget what i was bout tweet one more time ima fuck myself up,0
😂,no gravy or curry sauce,0
😂,maybe,0
😂,wrong mother,0
😂,she aint even have to do allah,0
😂,but you eyewitness news though go be an eyewitness,0
😂,honestly if i start naming things ill never stop but and so on,0
😂,dont mind if i do,0
😂,when your food is coming to your table you now that youre here i dont think i could lose you,0
😂,eat some veggies ho thats my point,0
😂,so i refreshed his memory amp messaged him saying remember me oops not my bad,0
😂,i die,0
😂,josh dog was so excited to see him it was adorable,0
😂,last year,0
😂,my nigga im cryin she sus wanna be frenzy mo koe,0
😂,cause bitches say it make them fat,0
😂,i wish,0
😂,weenie nigga shit but for,0
😂,no do i only passed it to snub cuz he couldnt reach it from lie,0
😂,stop,0
😂,ink whats going on,0
😂,what did you do now,0
😂,nah its this dude from round my way but thank u for bro,0
😂,if u was here when i had an ask account u a real one it was fucking lit,0
😂,he think he running shit,0
😂,im so bored i have no life when tamil not here,0
😂,whoever that was on kee so was finna break her back amp legs fwiiiii,0
😂,good,0
😂,the game was a success now we have to make it home,0
😂,setting up the traps,0
😂,black twitter would love to have control over peoples lives wouldnt they chill youre only published on twitter,0
😂,got my license and my car still be sittin in my driveway cause i dont have a life lol,0
😂,im converted,0
😂,i was aware of the typo but wasnt arsed,0
😂,throwback to grays tragic iphone experience,0
😂,lao eye but u could at least lie and say u can mix cement its a certain kinda turn on wa bona,0
😂,im that person who uses movies to explain my feelings,0
😂,i love that pic,0
😂,ladoo mashed,0
😂,lol yes,0
😂,this is jordan,0
😂,my aunt is forever trying to get me with someone,0
😂,great hit and a great with this afternoon at these bounces on were fun,0
😂,not gonna lie if i won this id probably cancel my holiday,0
😂,omg yes to i just mentioned him about how lucky the fans that he followed i cant believe he followed me back,0
😂,lao us girls really have crazy ways of thinking,0
😂,new hair new blu,0
😂,cant even have a day without arguing,0
😂,kastivin my for this sanothimi bhaktapur,0
😂,one time someone threw an orange at coach when he was on the bike,0
😂,ahah that is a quiz again hahaha didnt realise anyway they all look alike,0
😂,id say happy fathers day but we all know most of calls dads left all jokes aside happy fathers day,0
😂,screw you,0
😂,not really pleased but alright,0
😂,guidos apparently,0
😂,his pet cat must be itchy,0
😂,not been able to run since monday due to shooting pains in my ankle i race for life on sunday is gonna be fun,0
😂,i only know tony bastard,0
😂,i suggest you nice is a really nice city yeah i know im funny jocking obviously,0
😂,obviously just cracked a great joke royal ascot,0
😂,ever heard of copy amp paste,0
😂,sorry but its still a no,0
😂,no conjuring solo flight,0
😂,no going to the crib to shower,0
😂,be they dont know what he saying,0
😂,thats not even bad youre showing progression i wish i was determined enough for a body like that,0
😂,me ex will talk to anyone so dont feel special,0
😂,thats you when you wear your chances,0
😂,made my day,0
😂,first time a walrus has been trending on twitter,0
😂,brite,0
😂,suuuuuurreee you didnt buddy thats not what she showed me is,0
😂,he wanna say no now but you mean too much to him that he wouldnt do that too you,0
😂,ke bone u no so hanne pele too much,0
😂,slide is one funny of all we do is gamble,0
😂,hey toke could we do id like to set something up and figure out a few things so im prepared for this paper view matchup,0
😂,i think we found our loser,0
😂,im doing my research,0
😂,you wanna talk about mothersssss,0
😂,thats my bihhnigg,0
😂,wales topping the group is utterly embarrassing,0
😂,this pizza be so fucking god omg,0
😂,hell yeah,0
😂,lao there she be a song for this,0
😂,because it is my dog,0
😂,what a hostage,0
😂,god have mercy how could you forget such a epic picture haha love it,0
😂,turn up,0
😂,nixon amp annabelle sleep in bed with me and damian be we love our babies but theyre starting to hog the whole bed,0
😂,lol youre my friends i just work at tomorrow so our friendship gotta wait,0
😂,did we go to the same place,0
😂,does dominoes pizza deliver,0
😂,ink how girls go through like hours of labor i was only in labor for hours and i was literally screaming and delirious from pain,0
😂,you know how close we are by the type of snaps i send you,0
😂,so stupid,0
😂,de brexit is nu complete is out of the ec,0
😂,duh fuck school,0
😂,hello from the outside,0
😂,life is testing you,0
😂,someone cannot know something again,0
😂,lao oh okay you aint going to find nun at this time,0
😂,some people my goodness,0
😂,you never know how sunburnt you are till you shower,0
😂,i herd this all homecoming,0
😂,honestly though you have no idea how hard it was for me to get up i literally rolled out of bed last minute,0
😂,its a horrifying gift tbe but i would like to have it anyways,0
😂,mannen i really wish i wouldve gone to a high school like this,0
😂,funniest shit of the day let me know if she him,0
😂,omg yes prefer alone,0
😂,thats funny it happens,0
😂,just realised how on earth are russia allowed to host the world cup,0
😂,i see omg i know he prob cant wait til youre out his life but nah i def feel you id be going hard too,0
😂,trust me bro im the most honest person i know,0
😂,yes you are invited,0
😂,no weve gone home,0
😂,your bot powers were on fleek yesterday magically turning the power back on amp shit shaaaashaaaa,0
😂,lol girl you should be resting im just starting to run again,0
😂,our weather is so messed up standard church footwear,0
😂,literally every guy me and jazz talk to ends up think me and her are gay like i dont get it,0
😂,aint enough for me,0
😂,its so funny how she beat his ass,0
😂,lmfaoooo,0
😂,holy fuck,0
😂,abaconandahappyvirus buying a gift kai and shun style,0
😂,changed his life,0
😂,its disrespectful not putting the flash on when its dark out especially if you darkskinned,0
😂,it was never me my baby sister use to burn my pizzas,0
😂,i was joking,0
😂,please meet our librarian jaguar brown socialise was real fun,0
😂,you are welcome tented destiny,0
😂,my grandpa was my og man remember we snuck and ate my grandma food and we said we didnt know who ate it,0
😂,i dont like it tbe,0
😂,who to ifs be to unless im tweaking,0
😂,its a rough life i just get annoyed too easily haha,0
😂,no i think there was still a bit of early morning dew on the track they had to clear,0
😂,cos it has travis,0
😂,pay my phone bill wassup,0
😂,got eem,0
😂,drove funny,0
😂,i was so tired i was talking to next thing you know i fell to to sleep,0
😂,you dai,0
😂,me trout because alcohol is so nice,0
😂,you never know,0
😂,lao i got him the play before,0
😂,mate the thing that baffled me was during the england game people were singing it like say will griggs was english,0
😂,enjoying this nice summer evening with a glass of wine outside for some reason the mosquitoes dont bother me might drop dead,0
😂,tears,0
😂,lol man im telling you ive been to nice bout to start it up bro,0
😂,girl dont be telling everybody his personal business,0
😂,thats a childish ass word to me,0
😂,too bad i dont have anybody to use it on i need to keep it that way im tired of going to jail,0
😂,how am i so drunk right now,0
😂,burnside liberty middle school caldwell amelia eckhart morgan park high school,0
😂,just as well scotland never qualified then,0
😂,ooooh look at me though,0
😂,this isnt chuck e cheese michael phelps,0
😂,done gave shawn the show of his life by a married woman,0
😂,and yes i am still sitting in my car,0
😂,i woke up beside a towel today i dont even remember leaving a towel on my bed last night,0
😂,you right kid lol im trippin,0
😂,ah yes sorry im not just tweeting you going i shall miss this man,0
😂,bruh,0
😂,and the circle closes before anything even begun,0
😂,i still remember this day,0
😂,why man why we was singing all the throw backs,0
😂,at least my eyeballs are on fleek,0
😂,oh my gosh i love you,0
😂,u finally coming to yo senses,0
😂,im lardy tow there fuck hahahahaha i think im to excited,0
😂,yes definitely to the point where my brothers and nephew call him ballin to annoy me,0
😂,i have kids but they still swimming,0
😂,omg kinda just been doing things amp not thinking of the outcome,0
😂,we kicking you out might even jump you aint no tellin so dont even risk your good health,0
😂,when i start back working im smoking every body out that smoked me out while i was unemployed,0
😂,so i really think i lost my nameplate necklace this time,0
😂,ledgers gone for the wrong sport,0
😂,like body dont play we yo entertainment,0
😂,and thats not,0
😂,all the hoes are at north high,0
😂,it was funny,0
😂,a random stranger kid stopped me in the mall to show me a final fantasy vid and tell me he likes bleach so random but kinda cute,0
😂,wow i didnt even know but love you,0
😂,i saw this coming,0
😂,im asking myself the same question,0
😂,i feel you his every move pisses me off,0
😂,kathryn dont need a style twin like kylie cause theyre both fashion icons your i is fond of copying shits,0
😂,he shouldnt have made me this way,0
😂,i dont have a wifi i live on i internet so have to wait for friends to download it,0
😂,you can cheer for my boyfriend,0
😂,always be my maybe,0
😂,they gave food and punji gave rose ok sorry thats the only one i can remember right now,0
😂,what the fuck is with people lately,0
😂,poor train is gonna be fighting off kobe slurpees all day,0
😂,sitting here wishing i could hit the wood,0
😂,you owe a few niggas damn baby,0
😂,shoulder,0
😂,trolling will state otherwise,0
😂,you know its real when you can send all your ugly pics to bae and you dont even care nomore,0
😂,via this is for you,0
😂,why is it that people who take pics with me never send me the fucking pics,0
😂,i think she seen me taking the picture of her,0
😂,the ultimate dingle berry,0
😂,thats so funny omg,0
😂,i need me one of these lil niggas,0
😂,been looking at swimsuits all morning,0
😂,i could tell,0
😂,i even extended my stay ezlalini so that my hair could grow back,0
😂,he used the word lol so much in convo with her as if itll was her name,0
😂,i did but thats not the problem,0
😂,girl all we did was talk the whole class period,0
😂,the only perros i see are the pair idiots standing right in front of me,0
😂,i think ill stop being lazy today and actually go lay out lao my pale ass really needs it,0
😂,what we all need bro,0
😂,yo ass had a dream you was a father or somethin,0
😂,somebody come get cherry please,0
😂,its okay it made me laugh,0
😂,on a yourway arguing,0
😂,yes now is my last day school,0
😂,i was lookin for that,0
😂,if you aint on my level or on what im on you cut off,0
😂,pretty much,0
😂,lao noooo i was getting tyler then you came,0
😂,nah i wasnt calling you wierd maddie said that and i showed her,0
😂,initial i,0
😂,melodies from heaven tho i never knew lol,0
😂,bruh,0
😂,a refugee gun trying to enter into europe,0
😂,wake to up,0
😂,its funny because its true,0
😂,im bout to download kid back thats when i had hoes,0
😂,dat girl done hit i again,0
😂,im glad my pain amuses you,0
😂,good morning world i hope you guys have a great day,0
😂,the syrian rebel said to the us keep your hands off syria but the relationship is more complicated than that,0
😂,yall hell,0
😂,the team with no ab although in fairness they didnt have one last season either,0
😂,i had to stop watching tits for a min cause you made me laugh so hard about the new gun controller in fact still laughing,0
😂,i swear i dont intend to leave people on read or opened sometimes i just forget,0
😂,if you dont sit yo lil ass down curry,0
😂,happy the of june the finale was crazy af,0
😂,not watching a horror on me own again,0
😂,im tagging you guys in this because this is what i think happened to you guys today,0
😂,wrapper,0
😂,nope,0
😂,luh breezy,0
😂,where did this kid come from,0
😂,idea what anyone says stunt june is fine af this girl trippin,0
😂,is be on the lookout ill be at the front for about mins make it special,0
😂,i thought i was the only one that thought you looked like tyler,0
😂,said your head looked like a melon i saw him at vales party,0
😂,is life,0
😂,thats creepier says the girl that played in chatrooms man,0
😂,i feel you,0
😂,this is so accurate,0
😂,damn even year old people getting hurt out here,0
😂,hair,0
😂,cleveeeereelaaaaaaaand,0
😂,stawppp lying,0
😂,but its your turn remember because i got last time,0
😂,lao i hate the internet to,0
😂,tit i just seen it,0
😂,this was my dumb ass,0
😂,even the security givin the cars high i im weak,0
😂,you stay missing sis wed to em,0
😂,she deserves it,0
😂,mine and austin neighbors are throwing a banger right now theres a do right now just lighting up the block,0
😂,na course you wouldnt,0
